rho:   eigenvalue
      5.3075000, 	      2523.2300,
      5.3350000, 	      2543.9814,
      5.3625000, 	      2564.7393,
      5.3900000, 	      2585.5022,
      5.4175000, 	      2606.2691,
      5.4450000, 	      2627.0384,
      5.4725000, 	      2647.8091,
      5.5000000, 	      2668.5797,
      5.5275000, 	      2689.3491,
      5.5550000, 	      2710.1159,
      5.5825000, 	      2730.8788,
      5.6100000, 	      2751.6366,
      5.6375000, 	      2772.3880,
      5.6650000, 	      2793.1317,
      5.6925000, 	      2813.8664,
      5.7200000, 	      2834.5909,
      5.7475000, 	      2855.3039,
      5.7750000, 	      2876.0040,
      5.8025000, 	      2896.6901,
      5.8300000, 	      2917.3608,
      5.8575000, 	      2938.0149,
      5.8850000, 	      2958.6511,
      5.9125000, 	      2979.2681,
      5.9400000, 	      2999.8646,
      5.9675000, 	      3020.4395,
      5.9950000, 	      3040.9913,
      6.0225000, 	      3061.5189,
      6.0500000, 	      3082.0209,
      6.0775000, 	      3102.4962,
      6.1050000, 	      3122.9434,
      6.1325000, 	      3143.3612,
      6.1600000, 	      3163.7486,
      6.1875000, 	      3184.1040,
      6.2150000, 	      3204.4264,
      6.2425000, 	      3224.7145,
      6.2700000, 	      3244.9670,
      6.2975000, 	      3265.1826,
      6.3250000, 	      3285.3601,
      6.3525000, 	      3305.4983,
      6.3800000, 	      3325.5959,
      6.4075000, 	      3345.6517,
      6.4350000, 	      3365.6645,
      6.4625000, 	      3385.6330,
      6.4900000, 	      3405.5559,
      6.5175000, 	      3425.4321,
      6.5450000, 	      3445.2603,
      6.5725000, 	      3465.0394,
      6.6000000, 	      3484.7680,
      6.6275000, 	      3504.4450,
      6.6550000, 	      3524.0691,
      6.6825000, 	      3543.6392,
      6.7100000, 	      3563.1540,
      6.7375000, 	      3582.6123,
      6.7650000, 	      3602.0130,
      6.7925000, 	      3621.3548,
      6.8200000, 	      3640.6365,
      6.8475000, 	      3659.8570,
      6.8750000, 	      3679.0151,
      6.9025000, 	      3698.1095,
      6.9300000, 	      3717.1392,
      6.9575000, 	      3736.1028,
      6.9850000, 	      3754.9994,
      7.0125000, 	      3773.8276,
      7.0400000, 	      3792.5864,
      7.0675000, 	      3811.2745,
      7.0950000, 	      3829.8909,
      7.1225000, 	      3848.4343,
      7.1500000, 	      3866.9037,
      7.1775000, 	      3885.2979,
      7.2050000, 	      3903.6157,
      7.2325000, 	      3921.8561,
      7.2600000, 	      3940.0178,
      7.2875000, 	      3958.0999,
      7.3150000, 	      3976.1011,
      7.3425000, 	      3994.0203,
      7.3700000, 	      4011.8565,
      7.3975000, 	      4029.6086,
      7.4250000, 	      4047.2754,
      7.4525000, 	      4064.8559,
      7.4800000, 	      4082.3490,
      7.5075000, 	      4099.7535,
      7.5350000, 	      4117.0685,
      7.5625000, 	      4134.2929,
      7.5900000, 	      4151.4255,
      7.6175000, 	      4168.4654,
      7.6450000, 	      4185.4115,
      7.6725000, 	      4202.2627,
      7.7000000, 	      4219.0181,
      7.7275000, 	      4235.6765,
      7.7550000, 	      4252.2369,
      7.7825000, 	      4268.6984,
      7.8100000, 	      4285.0598,
      7.8375000, 	      4301.3203,
      7.8650000, 	      4317.4787,
      7.8925000, 	      4333.5342,
      7.9200000, 	      4349.4857,
      7.9475000, 	      4365.3321,
      7.9750000, 	      4381.0727,
      8.0025000, 	      4396.7062,
      8.0300000, 	      4412.2319,
      8.0575000, 	      4427.6488,
      8.0850000, 	      4442.9558,
      8.1125000, 	      4458.1522,
      8.1400000, 	      4473.2368,
      8.1675000, 	      4488.2088,
      8.1950000, 	      4503.0672,
      8.2225000, 	      4517.8113,
      8.2500000, 	      4532.4399,
      8.2775000, 	      4546.9523,
      8.3050000, 	      4561.3475,
      8.3325000, 	      4575.6247,
      8.3600000, 	      4589.7829,
      8.3875000, 	      4603.8214,
      8.4150000, 	      4617.7391,
      8.4425000, 	      4631.5353,
      8.4700000, 	      4645.2092,
      8.4975000, 	      4658.7598,
      8.5250000, 	      4672.1864,
      8.5525000, 	      4685.4881,
      8.5800000, 	      4698.6640,
      8.6075000, 	      4711.7135,
      8.6350000, 	      4724.6356,
      8.6625000, 	      4737.4295,
      8.6900000, 	      4750.0946,
      8.7175000, 	      4762.6300,
      8.7450000, 	      4775.0349,
      8.7725000, 	      4787.3085,
      8.8000000, 	      4799.4502,
      8.8275000, 	      4811.4591,
      8.8550000, 	      4823.3345,
      8.8825000, 	      4835.0757,
      8.9100000, 	      4846.6820,
      8.9375000, 	      4858.1526,
      8.9650000, 	      4869.4868,
      8.9925000, 	      4880.6840,
      9.0200000, 	      4891.7434,
      9.0475000, 	      4902.6644,
      9.0750000, 	      4913.4462,
      9.1025000, 	      4924.0883,
      9.1300000, 	      4934.5899,
      9.1575000, 	      4944.9505,
      9.1850000, 	      4955.1693,
      9.2125000, 	      4965.2457,
      9.2400000, 	      4975.1792,
      9.2675000, 	      4984.9691,
      9.2950000, 	      4994.6147,
      9.3225000, 	      5004.1156,
      9.3500000, 	      5013.4711,
      9.3775000, 	      5022.6806,
      9.4050000, 	      5031.7436,
      9.4325000, 	      5040.6595,
      9.4600000, 	      5049.4278,
      9.4875000, 	      5058.0478,
      9.5150000, 	      5066.5192,
      9.5425000, 	      5074.8413,
      9.5700000, 	      5083.0136,
      9.5975000, 	      5091.0357,
      9.6250000, 	      5098.9070,
      9.6525000, 	      5106.6270,
      9.6800000, 	      5114.1954,
      9.7075000, 	      5121.6115,
      9.7350000, 	      5128.8749,
      9.7625000, 	      5135.9853,
      9.7900000, 	      5142.9421,
      9.8175000, 	      5149.7449,
      9.8450000, 	      5156.3933,
      9.8725000, 	      5162.8868,
      9.9000000, 	      5169.2251,
      9.9275000, 	      5175.4078,
      9.9550000, 	      5181.4345,
      9.9825000, 	      5187.3048,
      10.010000, 	      5193.0183,
      10.037500, 	      5198.5747,
      10.065000, 	      5203.9736,
      10.092500, 	      5209.2146,
      10.120000, 	      5214.2975,
      10.147500, 	      5219.2219,
      10.175000, 	      5223.9875,
      10.202500, 	      5228.5940,
      10.230000, 	      5233.0410,
      10.257500, 	      5237.3283,
      10.285000, 	      5241.4556,
      10.312500, 	      5245.4225,
